,"Vesdre, Chaudfontaine","Franse Maas, Chooz","Lesse, Gendron","Ambleve, Martinrive","Semois, Membre","Ourthe, Tabreux","Ourthe, Sauheid","Sambre, Salzinnes","Geul, Meerssen","Roer, Stah",Chooz (-Membre),"Niers, Goch","Maas, Venlo"
1996-11-22,24.24,423.86,78.49,37.69,93.73,56.99,92.23,,6.631,29.094,330.13,7.696,755.1
1996-12-06,30.41,494.0,60.18,61.44,139.95,65.03,124.07,,11.05,36.88,354.05,10.099,849.8
1997-02-15,54.13,448.74,99.79,79.39,98.53,100.81,187.31,,26.983,61.212,350.21000000000004,13.255,1022.9
1997-02-27,41.7,656.94,133.29,74.04,234.08,109.94,182.08,,11.553,40.689,422.86,13.743,1109.6
1998-01-07,29.78,583.41,117.96,70.48,183.02,103.22,182.18,,6.98,39.548,400.39,8.03,1065.0
1998-01-21,20.83,485.73,55.26,46.52,117.02,63.39,112.75,,6.976,26.674,368.71000000000004,7.462,831.3
1998-03-09,45.51,332.8,65.03,75.1,88.05,101.37,188.97,,17.038,46.405,244.75,35.864,885.1
1998-04-10,49.71,555.61,113.48,63.26,107.29,90.38,172.49,,10.907,39.158,448.32,36.538,1102.2
1998-09-16,274.46,100.61,29.42,293.37,26.17,98.26,372.34,,45.604,78.95,74.44,22.504,879.4
1998-11-03,129.35,860.42,159.61,249.05,291.94,212.26,405.71,,32.786,95.788,568.48,25.055,1730.8
1998-11-16,35.76,457.57,37.6,57.72,57.91,68.31,131.08,,15.274,83.048,399.65999999999997,25.448,754.4
1998-12-14,75.52,385.63,94.56,146.94,118.55,142.49,258.16,,9.757,36.795,267.08,24.211,953.2
1998-12-29,22.34,487.96,54.62,47.86,143.75,65.89,112.3,,7.423,50.344,344.21,13.476,846.9
1999-01-10,36.53,354.13,54.09,45.6,99.49,68.67,122.63,,18.36,55.393,254.64,16.149,849.1
1999-01-18,33.22,464.44,62.54,53.26,102.68,66.84,124.15,,8.833,39.135,361.76,17.542,963.2
1999-01-30,84.02,418.5,91.22,111.89,90.41,117.5,226.1,,15.922,71.36,328.09000000000003,17.243,1141.6
1999-02-23,131.12,516.28,141.64,178.49,106.97,194.22,357.26,,20.415,84.703,409.30999999999995,23.642,1491.5
1999-03-04,124.56,662.3,102.83,191.72,157.54,196.18,385.1,,21.83,84.315,504.76,24.8,1619.2
1999-12-15,63.63,838.65,146.06,105.49,316.04,160.19,269.12,,22.116,52.84,522.6099999999999,12.789,1452.9
1999-12-28,75.05,996.76,234.36,136.44,228.9,194.54,357.4,,17.828,72.798,767.86,18.336,2081.1
2000-02-01,80.84,400.08,56.09,108.07,84.88,85.95,221.06,,23.387,57.75,315.2,18.617,911.1
2000-02-21,43.44,509.8,80.31,65.87,107.15,101.82,182.72,,12.914,43.682,402.65,13.788,1006.2
2000-03-05,83.09,517.97,120.35,103.83,139.16,138.68,265.15,,20.731,74.251,378.81000000000006,18.431,1264.5
2000-11-10,14.08,481.01,69.67,26.5,142.74,61.78,85.18,,4.903,24.526,338.27,18.877,752.0
2000-11-27,15.14,538.13,73.33,29.45,136.33,56.45,83.89,,6.207,28.102,401.79999999999995,9.479,872.7
2000-12-17,20.54,508.95,85.26,40.76,144.74,76.28,116.37,,14.091,31.852,364.21,10.444,868.3
2001-01-08,50.31,1023.56,290.48,107.92,387.26,167.33,280.72,,17.304,47.422,636.3,12.197,1775.6
2001-02-09,53.71,756.81,107.73,91.12,232.55,115.65,220.02,,22.111,59.093,524.26,14.075,1404.5
2001-03-26,72.15,869.83,177.0,85.07,137.97,152.0,279.04,,23.485,87.341,731.86,14.777,1875.6
2001-04-17,72.49,435.01,104.75,106.3,78.87,112.4,237.5,,27.988,60.822,356.14,13.672,1148.7
2001-04-30,25.65,396.4,81.44,51.17,90.9,81.56,137.02,,7.729,41.504,305.5,17.455,894.0
2001-11-10,52.44,328.63,105.9,97.71,81.22,105.36,168.41,,23.305,57.556,247.41,11.097,827.0
2001-12-02,49.14,409.44,90.08,84.8,86.46,105.9,207.53,,19.399,57.82,322.98,11.938,1023.0
2001-12-31,71.39,430.32,78.54,84.53,110.43,96.99,176.51,,31.261,65.037,319.89,29.936,883.0
2002-01-30,169.94,771.44,184.36,253.65,259.14,213.14,468.94,,34.347,115.524,512.3000000000001,22.671,1880.0
2002-02-15,142.34,814.04,274.34,275.34,233.17,343.09,586.12,,26.751,109.38,580.87,15.376,2160.0
2002-02-28,146.88,1047.38,178.58,192.92,262.03,243.69,421.11,,38.987,125.021,785.3500000000001,29.949,2070.0
2002-03-23,100.04,643.96,94.0,114.83,161.56,108.34,261.54,,21.264,63.171,482.40000000000003,17.217,1409.0
2002-11-13,73.19,696.33,225.89,185.37,158.66,177.34,355.1,,22.369,60.979,537.6700000000001,14.519,1497.0
2003-01-04,112.51,1173.73,346.34,185.37,476.92,380.07,525.14,,31.247,109.308,696.81,26.435,2191.2
2003-02-05,53.47,436.03,64.92,56.39,87.23,87.88,168.47,,22.843,56.961,348.79999999999995,27.956,1004.3
2004-01-21,130.84,619.15,130.01,191.5,162.49,134.86,293.6,,31.173,92.021,456.65999999999997,18.612,1328.62
2004-02-03,42.13,317.61,44.81,69.98,70.72,59.76,131.12,,16.452,43.846,246.89000000000001,13.341,751.18
2005-02-14,110.34,474.03,89.63,127.96,112.55,129.34,277.33,,32.801,94.37,361.47999999999996,27.584,1254.25
2006-02-20,34.35,402.01,94.27,81.28,85.39,83.54,169.54,,12.561,44.829,316.62,14.539,844.22
2006-03-12,55.49,516.8,89.26,104.49,100.58,123.84,238.46,,15.091,46.622,416.21999999999997,13.403,1148.4
2006-04-03,60.0,512.58,70.68,84.33,140.9,72.2,165.1,,18.15,56.665,371.68000000000006,12.469,969.62
2006-05-29,85.49,354.7,92.95,117.71,105.81,86.91,218.27,,28.323,50.078,248.89,13.635,859.27
2006-12-10,23.78,504.14,76.87,43.54,132.96,63.79,97.08,,9.947,30.429,371.17999999999995,15.008,831.0
2007-01-21,77.53,795.27,185.59,162.81,368.25,161.56,315.18,147.05,34.595,86.783,427.02,19.343,1564.33
2007-02-16,28.64,611.24,83.73,73.85,128.27,106.53,175.94,121.54,9.259,36.493,482.97,18.073,1043.39
2007-03-04,51.48,623.26,95.75,97.94,183.37,123.85,224.03,119.84,19.464,49.236,439.89,20.474,1173.43
2007-12-12,70.65,714.02,114.66,136.09,198.34,135.42,266.86,169.65,28.94,79.375,515.68,14.234,1380.05
2008-02-08,42.78,576.95,79.68,45.04,162.57,62.08,105.03,77.8,26.107,49.649,414.38000000000005,13.284,968.1
2008-03-03,56.15,434.31,95.7,106.08,96.73,104.26,204.16,105.18,18.431,36.823,337.58,14.519,835.4
2008-03-23,65.01,541.99,122.44,98.15,110.16,147.04,247.46,172.84,19.613,69.097,431.83000000000004,17.03,1336.0
2008-04-16,66.81,432.0,81.61,90.16,64.53,92.56,182.31,54.87,21.548,63.512,367.47,11.334,893.7
2008-12-07,34.68,438.94,58.69,66.84,124.06,71.13,134.73,84.16,8.63,28.901,314.88,12.142,807.8
2010-01-01,34.81,531.49,94.59,62.14,108.04,95.96,152.53,75.01,11.485,35.455,423.45,20.437,866.9
2010-02-05,31.26,477.6,58.92,36.47,87.76,59.45,100.27,113.78,20.903,41.526,389.84000000000003,17.215,763.0
2010-03-01,61.93,549.68,78.06,100.01,130.47,109.16,243.85,149.52,15.703,50.576,419.2099999999999,14.511,1005.3
2010-11-16,134.44,806.03,132.8,160.09,215.33,180.56,373.56,262.2,46.393,94.206,590.6999999999999,28.99,1614.7
2012-01-07,78.85,803.78,168.74,139.36,315.74,187.25,331.42,143.87,28.976,81.497,488.03999999999996,14.515,1559.8
2012-01-22,96.86,421.86,83.6,118.35,80.27,106.03,204.98,104.36,18.357,60.284,341.59000000000003,21.868,946.8
2012-12-29,109.02,692.91,113.66,149.5,199.71,140.99,303.91,128.61,30.95,99.858,493.19999999999993,20.332,1337.6
2013-02-02,64.75,637.44,82.4,82.55,157.0,102.16,187.4,123.25,18.059,47.268,480.44000000000005,15.711,1071.2
2013-11-09,94.56,509.81,113.35,132.57,131.1,122.02,258.09,136.82,23.019,54.023,378.71000000000004,15.183,1036.0
2013-12-26,34.14,654.73,253.07,55.76,152.72,117.84,170.43,168.95,10.522,29.4,502.01,15.572,1144.5
2014-12-14,52.56,460.1,124.45,91.48,123.1,119.64,221.59,165.27,16.463,36.559,337.0,17.961,970.84
2015-01-10,78.39,477.84,72.77,125.96,106.14,100.56,234.59,156.22,24.264,68.152,371.7,16.538,1048.41
2015-02-27,51.73,425.18,70.12,70.04,88.18,80.67,143.84,130.32,12.058,32.293,337.0,14.926,774.17
2016-01-16,29.6,374.57,65.58,60.67,96.02,79.79,138.08,94.01,6.644,32.764,278.55,12.271,752.3
2016-02-11,60.83,605.81,149.84,94.58,139.25,126.07,240.62,143.44,20.249,56.246,466.55999999999995,18.609,1263.9
2016-02-24,70.1,591.13,92.06,108.09,129.92,122.33,251.06,152.33,19.983,59.938,461.21000000000004,20.283,1254.2
2016-06-04,95.88,373.13,150.6,116.57,67.48,123.53,230.76,110.48,26.481,65.458,305.65,26.834,973.5
2016-06-19,36.45,337.4,70.0,59.99,52.7,64.71,131.83,58.01,15.821,53.714,284.7,11.399,782.0
2017-03-11,69.62,441.24,83.55,107.12,93.34,104.73,199.72,91.36,16.491,35.541,347.9,13.268,858.9
2017-12-16,54.64,611.23,114.44,97.1,166.69,124.14,219.22,112.86,14.261,48.64,444.54,16.675,1112.4
2018-01-06,78.5,785.72,129.14,139.41,229.53,136.53,281.46,124.58,14.544,77.287,556.19,16.364,1447.46
2018-02-02,50.17,711.83,56.59,68.0,120.58,74.08,137.35,99.45,10.737,48.759,591.25,17.002,1045.16
2018-12-26,55.76,527.67,63.83,85.8,145.46,75.28,123.51,64.73,9.431,40.75,382.2099999999999,7.524,762.08
2019-02-12,71.26,558.91,151.82,116.2,168.23,133.75,254.67,140.02,26.219,51.486,390.67999999999995,9.962,1168.91
2019-03-18,141.13,660.01,139.71,203.12,153.53,178.27,411.3,196.8,30.304,126.304,506.48,12.974,1568.85
2019-12-17,42.34,578.78,95.24,81.74,165.02,107.92,195.83,105.15,8.499,42.821,413.76,12.12,1407.59
2019-12-25,29.89,538.94,82.09,67.04,145.54,89.84,161.0,86.95,7.436,42.943,393.4000000000001,10.663,948.62
2020-02-06,78.11,806.88,216.76,138.74,250.6,195.16,337.7,181.22,18.697,48.945,556.28,21.25,1534.23
2020-03-13,82.46,741.66,137.21,127.55,147.11,163.79,295.4,176.7,26.734,111.027,594.55,23.657,1527.04
2020-12-25,39.73,704.06,144.21,105.33,214.54,140.57,244.29,153.62,7.04,24.466,489.52,5.5,1139.94
2021-02-01,114.04,742.93,169.29,206.77,173.16,227.18,419.23,198.71,19.643,95.34,569.77,18.333,1690.45
2021-07-17,400.0,773.25,627.12,661.07,147.54,542.17,1093.29,306.42,54.434,270.0,625.71,15.333,2927.33
2022-01-11,58.26,688.16,147.02,117.98,178.0,142.92,261.23,211.18,,,510.15999999999997,,1287.42
2022-02-08,82.64,372.71,54.64,117.89,114.28,95.13,206.3,67.78,,,258.42999999999995,7.801,755.05
2022-02-23,43.82,426.3,62.33,78.85,118.87,81.66,160.39,89.45,,,307.43,,785.47
