Mean,Exc prob,StDev
1440,0.08333333333333333,85.0
1970,0.03333333333333333,115.0
2300,0.016666666666666666,145.0
2600,0.008333333333333333,207.5
2970,0.0033333333333333335,270.0
3220,0.0016666666666666668,287.5
3520,0.0006666666666666666,285.0
3700,0.0003333333333333333,295.0
3910,0.00013333333333333334,350.0
4020,8.333333333333333e-05,392.5
4180,4.1666666666666665e-05,467.5
4400,1.6666666666666667e-05,577.5
4560,8.333333333333334e-06,665.0
4770,3.3333333333333337e-06,787.5
4930,1.6666666666666669e-06,877.5
